SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.06476179,50,0,0.409693545,4600.0,22,0,2,0,0.0
0,0.223762047,77,0,0.829872327,6500.0,27,0,3,0,1.0
1,0.9999999,22,0,533.0,5443.0,2,0,0,0,0.0
1,0.60411027,39,2,0.139972006,5000.0,4,1,0,0,0.0
0,0.087024197,30,0,0.24863305,6583.0,8,0,1,0,0.0
0,0.9999999,58,1,0.591699673,5806.0,7,0,1,0,2.0
1,0.0,34,0,0.358230428,8340.0,11,0,3,0,0.0
1,0.084639452,55,2,1388.0,5443.0,9,0,2,0,0.0
0,0.561470266,54,0,0.180595115,16500.0,12,0,0,0,0.0
0,0.811925783,62,0,0.222164753,29000.0,14,0,2,0,0.0
1,0.647445749,56,0,0.789084843,8391.0,8,0,3,0,2.0
0,0.56737552,55,1,0.637038286,5928.0,21,0,2,0,2.0
1,0.891621676,48,0,0.429708779,4772.0,5,0,1,0,2.0
0,0.06614367,66,0,0.262818446,3100.0,7,0,1,0,0.0
0,0.054997885,61,0,0.162767925,9190.0,7,0,1,0,1.0
0,0.038105312,53,1,0.280943811,5000.0,15,0,1,0,1.0
1,0.145974798,40,0,0.347227485,7916.0,12,0,1,0,1.0
1,0.989802422,39,0,1.122047923,5800.0,11,0,2,0,3.0
0,0.9999999,81,0,809.0,5443.0,1,0,1,0,0.0
0,0.0079996,88,0,4.0,5443.0,2,0,0,0,0.0
1,0.9999999,53,0,0.0,2900.0,2,1,0,0,0.0
1,0.776770884,55,0,0.107702098,44000.0,12,0,0,0,3.0
0,1.269857969,36,2,915.0,5443.0,8,0,0,0,1.0
0,0.213149857,65,0,1491.0,5443.0,11,0,1,0,0.0
0,0.556577369,38,0,0.014255911,2875.0,2,1,0,0,0.0
0,0.137525825,50,0,0.424210105,7500.0,17,0,1,0,2.0
0,0.129458036,42,0,0.121898009,3666.0,4,0,0,0,2.0
1,0.9999999,35,1,143.0,5443.0,1,2,0,0,0.0
1,0.181453705,55,0,2.055234087,1900.0,16,0,2,0,0.0
1,0.9999999,53,0,0.147940824,2500.0,1,0,0,1,0.0
1,0.405868554,45,1,0.50858509,4600.0,13,0,1,0,2.0
0,0.015657541,63,0,0.146557471,10500.0,24,0,1,0,0.0
0,0.580629981,63,0,2379.0,5443.0,8,0,3,0,0.0
0,0.05924195,51,0,0.358914427,7700.0,6,0,2,0,2.0
1,1.165113182,29,3,0.189452637,4000.0,7,2,0,0,1.0
0,0.623841563,61,0,0.753035281,7000.0,12,0,2,0,1.0
0,0.565844494,34,0,1286.0,5443.0,10,0,1,0,0.0
1,0.305387784,46,0,0.898050975,2000.0,5,0,2,0,0.0
1,0.9999999,21,98,0.0,1400.0,0,98,0,98,0.0
0,0.0,41,0,5319.0,5443.0,8,0,1,0,0.0
1,0.9999999,56,2,0.19300106,6600.0,3,3,0,0,0.0
1,0.863462085,66,0,1.206235012,1250.0,9,0,1,0,0.0
0,0.416028027,33,0,3637.0,5443.0,10,0,1,0,0.0
0,0.0,50,0,0.35880829,4631.0,5,0,1,0,1.0
0,0.015929816,39,0,0.066495695,5458.0,8,0,0,0,0.0
0,0.348403685,43,2,0.261053099,4500.0,8,0,0,0,0.0
0,0.948805119,30,0,0.470705859,5000.0,8,0,1,0,0.0
0,0.410292369,45,0,0.201510787,18400.0,8,0,1,0,1.0
0,0.572697199,62,0,0.545270376,12833.0,19,0,2,0,0.0
0,0.042151143,59,0,0.578722837,7500.0,9,0,2,0,1.0
1,0.9999999,32,1,0.151890034,2909.0,5,3,0,1,1.0
1,1.003322259,38,0,0.002249438,4000.0,1,0,0,0,0.0
1,0.950703407,44,1,0.238319962,2118.0,7,3,0,0,2.0
1,1.052264188,69,1,9687.0,5443.0,25,0,2,0,0.0
1,0.947605239,41,4,0.74145171,5000.0,5,1,1,1,2.0
0,0.067047169,67,0,2923.0,5443.0,20,0,1,0,0.0
0,0.053989295,48,0,0.402162824,4900.0,8,0,2,0,1.0
0,0.077100726,49,0,0.302567583,8840.0,20,0,1,0,1.0
0,0.9999999,33,0,0.416457218,9150.0,6,0,2,0,1.0
1,0.0,37,0,1.23755249,5000.0,12,0,2,0,4.0
0,0.063027703,54,0,947.0,5443.0,7,0,1,0,0.0
0,0.102567987,32,0,0.010397227,3750.0,2,0,0,0,0.0
1,0.340501366,39,0,592.0,5443.0,5,0,0,0,0.0
1,0.334614352,55,0,0.970068027,6614.0,22,0,7,0,6.0
0,0.126280931,49,0,2645.0,5443.0,10,0,1,0,3.0
0,0.776351971,47,0,0.390318054,4275.0,9,0,2,0,3.0
1,0.838301114,41,1,0.470856669,4820.0,6,0,1,0,0.0
0,0.002713898,24,0,0.354576695,3200.0,8,0,2,0,0.0
1,1.082572794,38,1,0.466350302,4635.0,6,1,0,1,4.0
0,0.500046728,41,0,1150.0,5443.0,5,0,0,0,0.0
0,0.954209158,30,0,143.0,5443.0,1,0,0,0,0.0
0,0.00680839,88,0,15.0,5443.0,2,0,1,0,0.0
1,0.802838938,48,2,0.211554486,10800.0,9,1,0,0,1.0
1,0.929253537,36,3,2500.0,5443.0,5,0,0,0,0.0
1,0.98609001,58,2,0.425431711,5095.0,16,1,2,0,0.0
0,0.179875299,36,2,0.159537572,3459.0,9,0,0,1,1.0
0,0.043481066,46,0,0.562749345,8772.0,12,0,2,0,4.0
1,1.401197605,39,1,0.103507481,4076.0,5,1,0,0,2.0
1,0.966394187,36,2,560.0,5443.0,5,1,0,0,0.0
0,0.761978818,50,0,0.496263551,9500.0,19,0,2,0,2.0
0,0.975403536,28,0,0.397540984,2683.0,4,0,1,0,0.0
0,0.9999999,45,0,0.40549542,1200.0,2,0,0,0,0.0
1,0.208636442,63,0,0.396126157,5833.0,12,0,2,0,0.0
0,0.0,63,0,1476.0,5443.0,7,0,1,0,0.0
1,0.050568605,57,1,0.002851451,25600.0,4,0,1,0,1.0
1,0.323280507,60,0,0.566333383,6700.0,9,0,2,0,1.0
0,0.877060422,48,0,0.262165275,6945.0,7,0,0,1,2.0
0,0.058177368,81,0,0.032125881,6100.0,7,0,0,0,2.0
0,0.055768199,47,0,0.354755784,3500.0,34,0,0,0,0.0
1,0.418990912,62,0,1.612903226,2200.0,18,1,0,0,0.0
0,0.008720423,63,0,74.0,5443.0,1,0,0,0,0.0
1,0.410347202,60,1,0.39041871,2650.0,7,1,1,0,0.0
0,0.0,64,0,0.318380213,4123.0,9,0,1,0,1.0
1,0.244548189,48,0,0.687894298,8400.0,12,0,3,0,2.0
1,0.099224293,48,0,0.709657608,6512.0,9,0,2,0,3.0
0,0.887155258,64,1,0.628612979,5500.0,12,0,2,0,3.0
1,0.9999999,43,98,0.0,5443.0,0,98,0,98,0.0
0,0.708891858,54,1,0.309278351,3200.0,5,0,0,1,0.0
0,0.0,67,0,0.584224599,5983.0,9,0,3,0,0.0
0,0.9999999,32,0,448.0,5443.0,3,1,0,0,0.0
1,0.9999999,33,2,0.455107234,2750.0,5,2,0,0,2.0
0,0.03421842,56,0,2292.0,5443.0,4,0,2,0,0.0
1,1.836327345,35,2,0.042281219,3050.0,3,1,0,0,4.0
0,0.232376762,42,0,0.313251658,8896.0,4,0,1,0,0.0
1,4.074626866,33,1,24.0,5443.0,1,1,0,0,0.0
0,0.03102405,41,0,0.282368879,5166.0,9,0,0,0,0.0
0,0.061223427,49,1,0.284285927,6700.0,18,0,1,0,2.0
1,0.747833815,33,0,1528.0,5443.0,6,0,1,0,1.0
0,0.030052572,84,0,0.048780488,2500.0,13,0,1,0,0.0
1,0.9999999,43,0,0.407647548,6014.0,2,5,1,1,1.0
1,0.023746702,46,3,7.372483669,7500.0,7,1,2,1,0.0
0,0.755339971,54,0,0.314195139,5677.0,10,0,1,0,0.0
0,0.969218627,49,0,0.507557289,2050.0,5,0,0,0,1.0
0,0.096393733,55,0,0.29582425,5962.0,7,0,2,0,0.0
0,0.61547957,27,1,0.103541773,5900.0,5,0,0,0,1.0
0,0.165109534,52,0,4317.0,5443.0,5,0,1,0,3.0
1,1.38538206,22,1,12.0,5443.0,1,0,0,0,0.0
1,0.9999999,46,0,0.0,5443.0,0,2,0,0,3.0
1,0.816593654,56,2,1.634355361,5250.0,17,0,1,0,0.0
1,0.941360056,44,2,0.569692268,11600.0,11,0,1,0,4.0
0,0.758326658,46,0,0.522033159,4583.0,12,0,0,0,3.0
0,0.509777801,65,0,0.284874224,3060.0,5,0,0,0,0.0
1,0.71314741,34,1,0.026140441,1950.0,2,0,0,0,1.0
1,0.256344388,72,2,0.463579354,2072.0,13,0,2,0,0.0
1,0.722346219,49,0,0.603189717,4200.0,14,0,1,0,1.0
1,1.064733817,47,0,1.553633218,2600.0,9,0,3,0,2.0
1,0.9999999,48,0,0.019305019,1812.0,0,1,0,0,0.0
0,0.0239976,63,0,8.0,1.0,3,0,0,0,0.0
0,0.366062091,77,0,0.559043159,7900.0,12,0,1,0,0.0
0,0.435573474,54,0,0.792882847,2500.0,10,0,1,0,2.0
1,0.57985084,42,0,0.594224361,2700.0,8,0,0,0,0.0
0,0.001148751,56,0,0.00073193,5464.0,27,0,0,0,1.0
0,1.245847176,24,1,499.0,5443.0,4,1,0,0,0.0
0,0.510404737,44,1,1.452868474,5420.0,8,0,3,0,1.0
1,0.9999999,45,0,0.006027273,13272.0,1,1,0,0,3.0
1,0.924595658,39,4,961.0,5443.0,12,0,0,1,2.0
1,1.018196361,44,3,0.232810337,4333.0,3,0,2,0,5.0
1,0.626724349,32,0,0.173559823,4061.0,5,0,0,0,4.0
1,0.9999999,28,98,0.0,1700.0,0,98,0,98,0.0
1,0.9999999,41,98,0.0,2300.0,0,98,0,98,1.0
0,0.0,37,0,1.233966576,7000.0,12,0,0,0,0.0
1,0.833578359,52,0,0.083824821,7968.0,6,0,0,0,1.0
0,0.881983525,43,1,0.071214686,7680.0,6,3,0,1,4.0
1,0.899502821,29,1,0.263981455,3450.0,6,1,0,0,1.0
1,1.650559755,35,1,1596.0,5443.0,13,0,0,0,2.0
1,0.012688913,65,1,5286.0,5443.0,14,0,3,0,0.0
1,0.011671838,67,1,0.279338242,11000.0,8,0,1,0,1.0
1,0.965961362,67,1,0.08926366,23480.0,6,0,1,0,0.0
1,0.13138827,51,4,0.068450039,5083.0,7,0,0,0,0.0
0,0.099152137,68,0,0.259352084,10772.0,6,0,1,0,2.0
1,0.0,49,1,0.356085368,5200.0,5,2,0,3,3.0
0,0.0,61,0,3047.0,5443.0,15,0,1,0,0.0
0,0.0,35,0,0.271796185,7810.0,6,0,2,0,0.0
1,0.867122248,47,0,0.243517776,3740.0,7,3,0,0,1.0
0,0.307334146,35,0,0.135642136,4850.0,9,0,0,0,0.0
1,0.727565449,47,0,0.469740027,9500.0,9,0,2,1,0.0
0,0.56138287,66,0,0.356832357,5290.0,6,0,1,0,0.0
0,0.009469348,67,1,0.18205107,12100.0,30,1,1,0,1.0
0,0.710060213,65,0,0.388461019,7400.0,9,0,2,0,1.0
0,0.440609679,54,1,0.776889244,2500.0,6,0,1,0,2.0
1,0.982003599,74,1,1.15739731,2750.0,12,0,1,0,0.0
1,0.774228577,35,0,0.453888162,13000.0,11,0,4,0,1.0
0,0.196230403,61,0,0.23525138,13763.0,8,0,1,0,0.0
1,0.94159901,58,1,0.83413716,8500.0,10,0,1,0,0.0
0,0.033431273,71,0,0.304252521,2280.0,7,0,1,0,0.0
0,0.940463828,30,0,0.435141215,4000.0,10,0,0,0,0.0
0,0.021998308,49,0,1.039990478,4200.0,8,0,2,0,2.0
1,0.287245887,72,0,0.394758173,3700.0,10,1,0,0,0.0
0,0.099821849,54,0,1173.0,5443.0,4,0,2,0,0.0
1,0.982543641,44,1,737.0,5443.0,3,1,0,1,0.0
1,0.217953902,51,0,0.451726746,11900.0,18,1,2,1,0.0
1,0.838760608,51,0,1834.0,5443.0,5,0,2,0,0.0
0,0.182545436,47,0,0.407001667,8397.0,6,0,1,0,3.0
1,0.641910444,41,1,0.3156379,20833.0,11,0,3,0,0.0
0,0.623580005,64,0,0.71688052,6000.0,7,0,1,0,0.0
1,0.946843854,46,0,323.0,5443.0,4,3,0,0,3.0
0,0.180786493,47,0,0.839664134,2500.0,6,0,1,0,3.0
0,0.006098161,55,0,0.279549521,9500.0,6,0,3,0,1.0
1,0.9999999,51,1,0.0,6179.0,2,0,0,1,0.0
1,0.936857318,32,1,2131.0,5443.0,18,0,0,0,1.0
1,0.087586817,37,0,0.37049259,16666.0,22,0,3,0,0.0
1,1.006916253,55,3,1.073774393,2100.0,11,1,1,1,0.0
0,0.215207487,36,0,0.385886556,6716.0,7,0,1,0,0.0
0,0.006449678,80,0,3.0,5443.0,2,0,0,0,0.0
1,0.256327786,39,1,548.0,5443.0,5,0,0,0,0.0
0,0.879658244,43,2,0.076617275,8300.0,7,0,0,0,0.0
1,0.978043912,45,0,14.0,5443.0,2,1,0,0,0.0
0,0.465914595,64,0,0.52278246,7000.0,13,0,2,0,0.0
0,0.879677639,43,0,0.191707772,7500.0,3,0,0,0,2.0
0,0.210370797,48,0,2115.0,5443.0,5,0,2,0,0.0
1,0.189468984,50,0,0.290118314,6000.0,12,0,1,0,0.0
0,0.058063454,33,0,0.918121847,2576.0,5,0,1,0,0.0
1,0.562125107,22,3,0.426758939,2600.0,7,2,0,0,2.0
1,0.414352366,30,2,0.029506438,1863.0,3,0,0,0,0.0
0,0.16483065,48,0,0.453826327,11250.0,10,0,2,0,2.0
1,0.9999999,45,0,0.107778819,3200.0,2,1,0,0,1.0
1,0.014523118,60,1,0.23838093,12500.0,8,0,2,0,0.0
1,0.761421792,35,0,0.326390335,4800.0,8,0,1,1,1.0
1,0.439440927,57,0,0.797506739,5935.0,15,0,2,0,0.0
1,0.0,45,4,0.228611501,6416.0,9,1,0,1,3.0
0,0.022770023,86,0,6.0,5443.0,5,0,0,0,0.0
1,0.925170068,41,0,0.022661631,4500.0,1,0,0,1,3.0
1,0.9999999,32,0,0.181852696,2633.0,1,4,0,0,1.0
1,0.99620076,23,0,0.077961019,2000.0,3,0,0,0,0.0
1,1.018145908,38,0,0.243199529,6800.0,11,0,0,1,0.0
1,0.26127292,51,1,0.242493349,2630.0,14,0,0,0,0.0
0,0.393088383,61,1,0.506402735,19600.0,20,0,3,0,1.0
0,0.338732254,74,0,0.069332754,4600.0,5,0,0,0,0.0
0,0.398344475,54,0,0.387329193,4024.0,9,0,0,0,3.0
0,0.0,38,0,0.692087975,3500.0,6,0,1,0,2.0
1,0.631376211,53,1,0.86970684,3683.0,9,1,1,0,0.0
1,0.9999999,46,0,0.000869187,2300.0,0,0,0,0,0.0
0,0.229214682,57,3,0.494238982,12410.0,26,0,2,0,1.0
1,0.684835727,47,1,0.578771696,2995.0,7,0,1,1,2.0
1,0.585918477,54,0,3.041366906,1667.0,13,0,3,0,2.0
1,0.876098152,36,0,0.080819863,6000.0,2,0,0,1,1.0
1,0.9999999,30,98,0.0,5443.0,0,98,0,98,0.0
1,0.6961013,30,0,0.151739452,1350.0,3,0,0,0,1.0
1,0.9999999,38,0,0.0,2666.0,0,0,0,0,2.0
0,0.0,35,0,4835.0,5443.0,7,0,1,0,0.0
0,0.558110268,65,0,1.099336331,4670.0,12,0,2,0,1.0
0,0.031138456,58,0,0.353330257,6500.0,6,0,1,0,0.0
0,0.178937951,48,0,0.333904599,3500.0,5,0,1,0,2.0
1,0.927301041,66,2,0.326618379,4417.0,6,1,0,0,0.0
0,0.03246683,50,0,0.17428004,6041.0,12,0,1,0,0.0
1,0.947026487,35,3,0.110773439,6580.0,9,0,0,0,2.0
1,0.0,31,0,0.0,1500.0,2,0,0,0,0.0
0,0.0,28,0,0.08788005,2400.0,4,0,0,0,0.0
1,0.815273091,27,1,473.0,5443.0,3,2,0,0,1.0
1,0.405868554,45,1,0.50858509,4600.0,13,0,1,0,2.0
1,0.698161883,53,0,0.295252474,5960.0,3,1,1,2,3.0
1,0.9999999,33,0,0.672771344,3712.0,10,0,2,0,1.0
1,0.937091568,44,2,0.45098358,6150.0,11,0,1,1,3.0
1,0.353583268,55,0,3483.0,5443.0,9,0,2,0,0.0
1,0.380287814,60,0,0.54796477,4200.0,9,0,2,0,0.0
1,0.154041934,35,0,0.393075356,5400.0,6,0,2,0,3.0
