SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.06476179,50,0,0.409693545,4600.0,22,0,2,0,0.0
0,0.223762047,77,0,0.829872327,6500.0,27,0,3,0,1.0
1,0.60411027,39,2,0.139972006,5000.0,4,1,0,0,0.0
0,0.087024197,30,0,0.24863305,6583.0,8,0,1,0,0.0
0,0.9999999,58,1,0.591699673,5806.0,7,0,1,0,2.0
1,0.0,34,0,0.358230428,8340.0,11,0,3,0,0.0
1,0.647445749,56,0,0.789084843,8391.0,8,0,3,0,2.0
0,0.56737552,55,1,0.637038286,5928.0,21,0,2,0,2.0
1,0.891621676,48,0,0.429708779,4772.0,5,0,1,0,2.0
0,0.06614367,66,0,0.262818446,3100.0,7,0,1,0,0.0
0,0.054997885,61,0,0.162767925,9190.0,7,0,1,0,1.0
0,0.038105312,53,1,0.280943811,5000.0,15,0,1,0,1.0
1,0.145974798,40,0,0.347227485,7916.0,12,0,1,0,1.0
1,0.9999999,53,0,0.0,2900.0,2,1,0,0,0.0
0,0.556577369,38,0,0.014255911,2875.0,2,1,0,0,0.0
0,0.137525825,50,0,0.424210105,7500.0,17,0,1,0,2.0
0,0.129458036,42,0,0.121898009,3666.0,4,0,0,0,2.0
1,0.9999999,53,0,0.147940824,2500.0,1,0,0,1,0.0
1,0.405868554,45,1,0.50858509,4600.0,13,0,1,0,2.0
0,0.015657541,63,0,0.146557471,10500.0,24,0,1,0,0.0
0,0.05924195,51,0,0.358914427,7700.0,6,0,2,0,2.0
0,0.623841563,61,0,0.753035281,7000.0,12,0,2,0,1.0
1,0.305387784,46,0,0.898050975,2000.0,5,0,2,0,0.0
1,0.9999999,21,98,0.0,1400.0,0,98,0,98,0.0
1,0.9999999,56,2,0.19300106,6600.0,3,3,0,0,0.0
0,0.0,50,0,0.35880829,4631.0,5,0,1,0,1.0
0,0.015929816,39,0,0.066495695,5458.0,8,0,0,0,0.0
0,0.348403685,43,2,0.261053099,4500.0,8,0,0,0,0.0
0,0.948805119,30,0,0.470705859,5000.0,8,0,1,0,0.0
0,0.572697199,62,0,0.545270376,12833.0,19,0,2,0,0.0
0,0.042151143,59,0,0.578722837,7500.0,9,0,2,0,1.0
1,0.9999999,32,1,0.151890034,2909.0,5,3,0,1,1.0
1,0.950703407,44,1,0.238319962,2118.0,7,3,0,0,2.0
1,0.947605239,41,4,0.74145171,5000.0,5,1,1,1,2.0
0,0.053989295,48,0,0.402162824,4900.0,8,0,2,0,1.0
0,0.077100726,49,0,0.302567583,8840.0,20,0,1,0,1.0
0,0.9999999,33,0,0.416457218,9150.0,6,0,2,0,1.0
0,0.102567987,32,0,0.010397227,3750.0,2,0,0,0,0.0
1,0.334614352,55,0,0.970068027,6614.0,22,0,7,0,6.0
0,0.776351971,47,0,0.390318054,4275.0,9,0,2,0,3.0
1,0.838301114,41,1,0.470856669,4820.0,6,0,1,0,0.0
0,0.002713898,24,0,0.354576695,3200.0,8,0,2,0,0.0
1,0.802838938,48,2,0.211554486,10800.0,9,1,0,0,1.0
1,0.98609001,58,2,0.425431711,5095.0,16,1,2,0,0.0
0,0.179875299,36,2,0.159537572,3459.0,9,0,0,1,1.0
0,0.043481066,46,0,0.562749345,8772.0,12,0,2,0,4.0
0,0.761978818,50,0,0.496263551,9500.0,19,0,2,0,2.0
0,0.975403536,28,0,0.397540984,2683.0,4,0,1,0,0.0
0,0.9999999,45,0,0.40549542,1200.0,2,0,0,0,0.0
1,0.208636442,63,0,0.396126157,5833.0,12,0,2,0,0.0
1,0.323280507,60,0,0.566333383,6700.0,9,0,2,0,1.0
0,0.877060422,48,0,0.262165275,6945.0,7,0,0,1,2.0
0,0.058177368,81,0,0.032125881,6100.0,7,0,0,0,2.0
0,0.055768199,47,0,0.354755784,3500.0,34,0,0,0,0.0
1,0.410347202,60,1,0.39041871,2650.0,7,1,1,0,0.0
0,0.0,64,0,0.318380213,4123.0,9,0,1,0,1.0
1,0.244548189,48,0,0.687894298,8400.0,12,0,3,0,2.0
1,0.099224293,48,0,0.709657608,6512.0,9,0,2,0,3.0
0,0.887155258,64,1,0.628612979,5500.0,12,0,2,0,3.0
1,0.9999999,43,98,0.0,5443.0,0,98,0,98,0.0
0,0.708891858,54,1,0.309278351,3200.0,5,0,0,1,0.0
0,0.0,67,0,0.584224599,5983.0,9,0,3,0,0.0
1,0.9999999,33,2,0.455107234,2750.0,5,2,0,0,2.0
0,0.232376762,42,0,0.313251658,8896.0,4,0,1,0,0.0
0,0.03102405,41,0,0.282368879,5166.0,9,0,0,0,0.0
0,0.061223427,49,1,0.284285927,6700.0,18,0,1,0,2.0
0,0.030052572,84,0,0.048780488,2500.0,13,0,1,0,0.0
1,0.9999999,43,0,0.407647548,6014.0,2,5,1,1,1.0
0,0.755339971,54,0,0.314195139,5677.0,10,0,1,0,0.0
0,0.969218627,49,0,0.507557289,2050.0,5,0,0,0,1.0
0,0.096393733,55,0,0.29582425,5962.0,7,0,2,0,0.0
0,0.61547957,27,1,0.103541773,5900.0,5,0,0,0,1.0
1,0.9999999,46,0,0.0,5443.0,0,2,0,0,3.0
1,0.941360056,44,2,0.569692268,11600.0,11,0,1,0,4.0
0,0.758326658,46,0,0.522033159,4583.0,12,0,0,0,3.0
0,0.509777801,65,0,0.284874224,3060.0,5,0,0,0,0.0
1,0.71314741,34,1,0.026140441,1950.0,2,0,0,0,1.0
1,0.256344388,72,2,0.463579354,2072.0,13,0,2,0,0.0
1,0.722346219,49,0,0.603189717,4200.0,14,0,1,0,1.0
1,0.9999999,48,0,0.019305019,1812.0,0,1,0,0,0.0
0,0.366062091,77,0,0.559043159,7900.0,12,0,1,0,0.0
0,0.435573474,54,0,0.792882847,2500.0,10,0,1,0,2.0
1,0.57985084,42,0,0.594224361,2700.0,8,0,0,0,0.0
0,0.001148751,56,0,0.00073193,5464.0,27,0,0,0,1.0
1,0.9999999,45,0,0.006027273,13272.0,1,1,0,0,3.0
1,0.626724349,32,0,0.173559823,4061.0,5,0,0,0,4.0
1,0.9999999,28,98,0.0,1700.0,0,98,0,98,0.0
1,0.9999999,41,98,0.0,2300.0,0,98,0,98,1.0
1,0.833578359,52,0,0.083824821,7968.0,6,0,0,0,1.0
0,0.881983525,43,1,0.071214686,7680.0,6,3,0,1,4.0
1,0.899502821,29,1,0.263981455,3450.0,6,1,0,0,1.0
1,0.011671838,67,1,0.279338242,11000.0,8,0,1,0,1.0
1,0.13138827,51,4,0.068450039,5083.0,7,0,0,0,0.0
0,0.099152137,68,0,0.259352084,10772.0,6,0,1,0,2.0
1,0.0,49,1,0.356085368,5200.0,5,2,0,3,3.0
0,0.0,35,0,0.271796185,7810.0,6,0,2,0,0.0
1,0.867122248,47,0,0.243517776,3740.0,7,3,0,0,1.0
0,0.307334146,35,0,0.135642136,4850.0,9,0,0,0,0.0
1,0.727565449,47,0,0.469740027,9500.0,9,0,2,1,0.0
0,0.56138287,66,0,0.356832357,5290.0,6,0,1,0,0.0
0,0.009469348,67,1,0.18205107,12100.0,30,1,1,0,1.0
0,0.710060213,65,0,0.388461019,7400.0,9,0,2,0,1.0
0,0.440609679,54,1,0.776889244,2500.0,6,0,1,0,2.0
1,0.774228577,35,0,0.453888162,13000.0,11,0,4,0,1.0
0,0.196230403,61,0,0.23525138,13763.0,8,0,1,0,0.0
1,0.94159901,58,1,0.83413716,8500.0,10,0,1,0,0.0
0,0.033431273,71,0,0.304252521,2280.0,7,0,1,0,0.0
0,0.940463828,30,0,0.435141215,4000.0,10,0,0,0,0.0
1,0.287245887,72,0,0.394758173,3700.0,10,1,0,0,0.0
1,0.217953902,51,0,0.451726746,11900.0,18,1,2,1,0.0
0,0.182545436,47,0,0.407001667,8397.0,6,0,1,0,3.0
0,0.623580005,64,0,0.71688052,6000.0,7,0,1,0,0.0
0,0.180786493,47,0,0.839664134,2500.0,6,0,1,0,3.0
0,0.006098161,55,0,0.279549521,9500.0,6,0,3,0,1.0
1,0.9999999,51,1,0.0,6179.0,2,0,0,1,0.0
0,0.215207487,36,0,0.385886556,6716.0,7,0,1,0,0.0
0,0.879658244,43,2,0.076617275,8300.0,7,0,0,0,0.0
0,0.465914595,64,0,0.52278246,7000.0,13,0,2,0,0.0
0,0.879677639,43,0,0.191707772,7500.0,3,0,0,0,2.0
1,0.189468984,50,0,0.290118314,6000.0,12,0,1,0,0.0
0,0.058063454,33,0,0.918121847,2576.0,5,0,1,0,0.0
1,0.562125107,22,3,0.426758939,2600.0,7,2,0,0,2.0
1,0.414352366,30,2,0.029506438,1863.0,3,0,0,0,0.0
0,0.16483065,48,0,0.453826327,11250.0,10,0,2,0,2.0
1,0.9999999,45,0,0.107778819,3200.0,2,1,0,0,1.0
1,0.014523118,60,1,0.23838093,12500.0,8,0,2,0,0.0
1,0.761421792,35,0,0.326390335,4800.0,8,0,1,1,1.0
1,0.439440927,57,0,0.797506739,5935.0,15,0,2,0,0.0
1,0.0,45,4,0.228611501,6416.0,9,1,0,1,3.0
1,0.925170068,41,0,0.022661631,4500.0,1,0,0,1,3.0
1,0.9999999,32,0,0.181852696,2633.0,1,4,0,0,1.0
1,0.99620076,23,0,0.077961019,2000.0,3,0,0,0,0.0
1,0.26127292,51,1,0.242493349,2630.0,14,0,0,0,0.0
0,0.338732254,74,0,0.069332754,4600.0,5,0,0,0,0.0
0,0.398344475,54,0,0.387329193,4024.0,9,0,0,0,3.0
0,0.0,38,0,0.692087975,3500.0,6,0,1,0,2.0
1,0.631376211,53,1,0.86970684,3683.0,9,1,1,0,0.0
1,0.9999999,46,0,0.000869187,2300.0,0,0,0,0,0.0
0,0.229214682,57,3,0.494238982,12410.0,26,0,2,0,1.0
1,0.684835727,47,1,0.578771696,2995.0,7,0,1,1,2.0
1,0.876098152,36,0,0.080819863,6000.0,2,0,0,1,1.0
1,0.9999999,30,98,0.0,5443.0,0,98,0,98,0.0
1,0.6961013,30,0,0.151739452,1350.0,3,0,0,0,1.0
1,0.9999999,38,0,0.0,2666.0,0,0,0,0,2.0
0,0.031138456,58,0,0.353330257,6500.0,6,0,1,0,0.0
0,0.178937951,48,0,0.333904599,3500.0,5,0,1,0,2.0
1,0.927301041,66,2,0.326618379,4417.0,6,1,0,0,0.0
0,0.03246683,50,0,0.17428004,6041.0,12,0,1,0,0.0
1,0.947026487,35,3,0.110773439,6580.0,9,0,0,0,2.0
1,0.0,31,0,0.0,1500.0,2,0,0,0,0.0
0,0.0,28,0,0.08788005,2400.0,4,0,0,0,0.0
1,0.405868554,45,1,0.50858509,4600.0,13,0,1,0,2.0
1,0.698161883,53,0,0.295252474,5960.0,3,1,1,2,3.0
1,0.9999999,33,0,0.672771344,3712.0,10,0,2,0,1.0
1,0.937091568,44,2,0.45098358,6150.0,11,0,1,1,3.0
1,0.380287814,60,0,0.54796477,4200.0,9,0,2,0,0.0
1,0.154041934,35,0,0.393075356,5400.0,6,0,2,0,3.0
0,0.09860954,48,0,0.26446281,3750.0,5,0,1,0,0.0
1,0.68350984,52,0,0.792630677,3500.0,20,0,2,0,2.0
1,0.717767132,63,2,0.099902057,1020.0,4,0,0,0,0.0
0,0.290981046,60,1,0.330452466,5900.0,12,0,1,0,0.0
1,0.9999999,35,0,0.042898792,2400.0,1,2,0,0,0.0
0,0.0,75,0,0.143215241,5983.0,3,0,1,0,0.0
1,0.066923791,50,0,0.460769464,3300.0,5,0,2,0,1.0
0,0.832714924,26,0,0.147500874,5721.0,7,0,0,0,0.0
1,0.9999999,50,0,0.0,3320.0,0,0,0,0,1.0
1,0.9999999,44,0,0.0,5216.0,1,7,0,0,0.0
0,0.716294329,34,0,0.189787758,3250.0,6,0,0,0,0.0
0,0.210228413,54,0,0.149595687,8161.0,6,0,0,0,0.0
1,0.910738771,51,3,0.447592068,6000.0,13,0,0,0,0.0
0,0.416340839,49,0,0.535391924,4209.0,8,0,0,2,3.0
0,0.9999999,32,0,0.142433967,4050.0,1,0,0,0,1.0
0,0.00927071,59,0,0.712902218,3200.0,16,0,1,0,0.0
1,0.644071186,49,1,0.926122108,3586.0,3,3,1,0,1.0
0,0.9999999,24,0,0.0,200.0,0,0,0,0,0.0
0,0.298771024,48,0,0.101415776,3460.0,4,0,0,0,0.0
0,0.021828846,82,0,0.020578148,2040.0,7,0,0,0,0.0
1,0.9999999,39,1,0.440984999,3532.0,3,3,1,0,0.0
0,0.070216218,51,0,0.22894385,2991.0,8,0,1,0,0.0
0,0.030437708,66,0,0.207976891,9000.0,12,0,1,0,0.0
0,0.077239959,78,0,0.275562788,3686.0,5,0,1,0,0.0
0,0.032608969,74,0,0.106966925,5683.0,8,0,1,0,0.0
0,0.9999999,48,0,0.223208416,6083.0,4,0,2,0,0.0
1,0.109103029,28,2,0.087598191,4200.0,7,0,0,1,0.0
0,0.109878119,57,0,0.801732756,3000.0,21,0,1,0,0.0
1,0.049761737,27,0,0.217188062,2780.0,7,0,0,0,0.0
0,0.0,54,0,0.101579684,5000.0,5,0,0,0,1.0
0,0.743558727,45,1,0.152570481,6029.0,5,0,0,0,0.0
1,0.386406043,51,0,0.597476791,4200.0,10,0,1,0,3.0
1,0.688101697,40,1,0.340296053,12159.0,16,0,2,1,2.0
1,0.550426345,79,0,0.005168436,10834.0,2,1,0,0,0.0
1,0.074066791,72,0,0.441414572,2346.0,17,0,1,0,0.0
1,0.245727556,84,0,0.220926358,3000.0,8,0,0,0,1.0
1,0.197698037,27,1,0.442951713,5135.0,11,0,2,0,1.0
0,0.0,39,0,0.362727597,2800.0,6,0,1,0,0.0
0,0.005114146,75,0,0.00088879,9000.0,10,0,0,0,1.0
1,0.34706665,46,0,0.25394921,5000.0,8,0,0,0,0.0
0,0.051788432,65,0,0.362773824,7166.0,16,0,2,0,0.0
1,0.61282342,63,0,0.073719284,2400.0,8,0,0,0,0.0
1,0.002567394,59,2,0.000768935,2600.0,5,1,0,0,0.0
0,0.366508899,53,0,0.172479467,8400.0,6,0,0,0,0.0
0,0.0,24,0,0.0,5443.0,1,0,0,0,0.0
1,0.842572062,49,1,0.646370726,3333.0,5,0,1,0,2.0
1,0.091960849,64,0,0.38958037,5623.0,18,0,2,0,2.0
1,0.300506213,39,0,0.371559633,6539.0,13,0,2,0,6.0
0,0.000222217,64,0,0.168226542,4166.0,7,0,1,0,0.0
0,0.190183371,59,0,0.051549828,9000.0,6,0,0,0,0.0
1,0.418581419,26,0,0.145963509,4000.0,4,1,0,0,0.0
0,0.724754571,53,0,0.22875817,2600.0,8,0,0,0,3.0
1,0.434871335,48,0,0.341430499,3704.0,7,0,1,0,1.0
1,0.9999999,27,1,0.38969118,4500.0,6,1,1,1,1.0
1,0.889196676,35,0,0.050824863,6000.0,2,1,0,0,0.0
1,0.060934008,27,0,0.18137675,3500.0,6,0,0,1,0.0
1,0.883851802,67,1,0.870560379,3800.0,15,0,2,0,1.0
0,0.000938723,46,0,0.589585275,8583.0,23,0,2,0,0.0
0,0.706041994,35,0,0.352658936,2500.0,7,0,0,0,1.0
1,0.9999999,30,0,0.0,2900.0,3,0,0,0,1.0
1,0.460941641,35,0,0.856028794,3333.0,6,0,2,0,2.0
0,0.350050389,68,1,0.581225771,10833.0,24,0,1,0,1.0
0,0.169880861,46,0,0.189084575,5166.0,11,0,1,0,2.0
0,0.529855437,44,0,0.096546152,9901.0,5,0,0,0,7.0
1,0.029038646,74,0,0.692714951,9443.0,14,0,4,0,0.0
0,0.106206648,32,1,0.306026104,3600.0,9,0,1,0,0.0
1,0.886697983,50,0,0.590842167,6791.0,13,0,2,0,4.0
0,0.961115912,48,0,0.747000522,3833.0,7,0,1,0,0.0
1,0.96872285,46,1,0.316534777,2400.0,6,0,0,0,2.0
0,0.726364015,40,4,0.16133807,3377.0,3,0,0,0,1.0
1,0.0,33,0,0.078867381,6250.0,3,1,0,0,3.0
0,0.249783067,31,0,0.537154282,3000.0,10,0,1,0,0.0
0,0.665629493,37,0,0.371004691,9166.0,9,0,2,0,2.0
0,0.00843739,60,0,0.307564996,14500.0,14,0,3,0,2.0
0,0.077595238,61,0,0.200799201,1000.0,14,0,0,0,0.0
0,0.003935772,54,0,0.256087728,6200.0,15,0,1,0,0.0
1,0.9999999,48,0,0.968507873,4000.0,11,0,2,0,0.0
