"filepath","label","split"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_001.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_002.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_003.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_004.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_005.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_006.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_007.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_008.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_009.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_010.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_011.jpg","apple","train"
