class,best_f1,best_thr
Packages_Juice_Bravo-Orange-Juice,0.027777777777777776,0.0
Vegetables_Onion_Yellow-Onion,0.027777777777777776,0.0
Vegetables_Pepper_Red-Bell-Pepper,0.027777777777777776,0.0
Fruit_Apple_Golden-Delicious,0.0332409972299169,0.0
Packages_Juice_God-Morgon-Orange-Red-Grapefruit-Juice,0.0332409972299169,0.0
Packages_Yoghurt_Yoggi-Strawberry-Yoghurt,0.05555555555555555,0.025
Vegetables_Potato_Floury-Potato,0.08,0.07500000000000001
Packages_Milk_Garant-Ecological-Standard-Milk,0.10526315789473684,0.05
Fruit_Melon_Cantaloupe,0.14285714285714285,0.225
Vegetables_Potato_Sweet-Potato,0.15384615384615385,0.375
Packages_Yoghurt_Valio-Vanilla-Yoghurt,0.16666666666666666,0.375
Vegetables_Tomato_Beef-Tomato,0.18181818181818182,0.025
Packages_Soyghurt_Alpro-Vanilla-Soyghurt,0.21052631578947367,0.025
Fruit_Pear_Conference,0.23529411764705882,0.025
Fruit_Apple_Granny-Smith,0.25,0.07500000000000001
Packages_Juice_God-Morgon-Red-Grapefruit-Juice,0.25,0.025
Fruit_Apple_Royal-Gala,0.27586206896551724,0.025
Fruit_Pear_Kaiser,0.2777777777777778,0.025
Fruit_Apple_Pink-Lady,0.2857142857142857,0.07500000000000001
Fruit_Melon_Galia-Melon,0.3333333333333333,0.925
Packages_Soyghurt_Alpro-Blueberry-Soyghurt,0.3333333333333333,0.025
Packages_Milk_Arla-Medium-Fat-Milk,0.4,0.15000000000000002
Vegetables_Tomato_Vine-Tomato,0.42857142857142855,0.1
Fruit_Melon_Honeydew-Melon,0.4444444444444444,0.30000000000000004
Packages_Milk_Arla-Ecological-Medium-Fat-Milk,0.4444444444444444,0.25
Vegetables_Pepper_Yellow-Bell-Pepper,0.4444444444444444,0.05
Fruit_Melon_Watermelon,0.45454545454545453,0.17500000000000002
Vegetables_Pepper_Green-Bell-Pepper,0.46153846153846156,0.025
Fruit_Pear_Anjou,0.47619047619047616,0.025
Packages_Juice_God-Morgon-Orange-Juice,0.47619047619047616,0.05
Vegetables_Potato_Solid-Potato,0.5,0.025
Packages_Juice_Bravo-Apple-Juice,0.5454545454545454,0.05
Packages_Juice_God-Morgon-Apple-Juice,0.5454545454545454,0.05
Packages_Oat-Milk_Oatly-Oat-Milk,0.5454545454545454,0.05
Packages_Sour-Cream_Arla-Sour-Cream,0.5454545454545454,0.05
Packages_Yoghurt_Arla-Mild-Vanilla-Yoghurt,0.5454545454545454,0.7000000000000001
Packages_Soy-Milk_Alpro-Fresh-Soy-Milk,0.64,0.65
Packages_Juice_Tropicana-Apple-Juice,0.6666666666666666,0.07500000000000001
Packages_Milk_Arla-Standard-Milk,0.6666666666666666,0.25
Packages_Milk_Garant-Ecological-Medium-Fat-Milk,0.6666666666666666,0.4
Packages_Oatghurt_Oatly-Natural-Oatghurt,0.6666666666666666,0.1
Packages_Yoghurt_Arla-Natural-Mild-Low-Fat-Yoghurt,0.6666666666666666,0.025
Packages_Sour-Cream_Arla-Ecological-Sour-Cream,0.6923076923076923,0.05
Packages_Juice_Tropicana-Golden-Grapefruit,0.7,0.025
Packages_Juice_Tropicana-Juice-Smooth,0.7368421052631579,0.07500000000000001
Packages_Soy-Milk_Alpro-Shelf-Soy-Milk,0.7368421052631579,0.025
Packages_Yoghurt_Yoggi-Vanilla-Yoghurt,0.75,0.5750000000000001
Vegetables_Tomato_Regular-Tomato,0.75,0.17500000000000002
Vegetables_Pepper_Orange-Bell-Pepper,0.7692307692307693,0.025
Packages_Sour-Milk_Arla-Sour-Milk,0.8888888888888888,0.75
Fruit_Apple_Red-Delicious,0.9,0.025
Packages_Milk_Arla-Lactose-Medium-Fat-Milk,0.9,0.2
Packages_Juice_Tropicana-Mandarin-Morning,1.0,0.025
Packages_Yoghurt_Arla-Natural-Yoghurt,1.0,0.25
